index,ID,Label,snr,amplitude,peak_frequency,central_freq,duration,bandwidth,chisq,chisq_dof,GPStime,channel,Air_Compressor,Blip,Chirp,Extremely_Loud,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,None_of_the_Above,No_Glitch,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
15840,LEsbbJR3Vw,Scratchy,8.32989,4.93263e-23,211.99407,1148.23707,0.34375,2026.82093,0.0,0.0,1127063325.69,H1:GDS-CALIB_STRAIN,5.63984414725e-08,9.31331760512e-06,1.02308922578e-05,1.74426801891e-07,6.51576510791e-06,1.42260802249e-07,7.50722392695e-07,9.81295852398e-06,6.20400387561e-05,0.000574940815568,0.000305136549287,3.92040746533e-08,9.15237649224e-07,5.03312094224e-06,1.94603302361e-07,0.99887740612,1.17436094627e-07,9.30568120339e-08,8.05105798918e-07,0.000136285510962
15841,A4qqxSvNH7,Scratchy,8.03079,6.45035e-23,174.69607,192.43413,0.25,115.21506,0.0,0.0,1129068182.99,H1:GDS-CALIB_STRAIN,1.31159652028e-07,8.94472941582e-06,1.53012933879e-05,1.8640727717e-07,0.000401877681725,1.90155262203e-07,1.38949849315e-06,1.11389419999e-06,1.0774945622e-05,0.000266672694124,0.000354877061909,1.69408153283e-07,2.9294673709e-07,1.88259928109e-05,5.24231950294e-07,0.998876094818,3.08554746198e-07,5.63321442826e-08,2.11918788295e-07,4.20373871748e-05
15842,7PZsiVhd32,Scratchy,7.901,5.54834e-23,171.21339,169.56273,0.26172,160.33633,0.0,0.0,1128873047.73,H1:GDS-CALIB_STRAIN,2.37365043176e-08,1.86648503586e-05,1.04424989331e-05,1.74366689976e-07,0.000535502040293,2.94200162898e-07,2.14043257074e-06,1.35035554649e-06,1.62777996593e-05,0.00016025918012,0.000322639505612,5.88097357479e-08,1.35796972245e-06,5.14589846716e-05,7.7255197084e-07,0.998875141144,2.64279265139e-07,8.82190676066e-08,2.46788118829e-08,3.08322819365e-06
15844,F1YArykEyb,Scratchy,8.23675,5.05027e-23,159.86761,207.90217,0.71875,197.58257,0.0,0.0,1128873052.22,H1:GDS-CALIB_STRAIN,5.27846100162e-10,1.55238577548e-08,1.11325398677e-07,1.34272220009e-08,1.17125209727e-05,1.95764791044e-08,9.02491503751e-09,3.47070034934e-08,4.02620798923e-07,0.00113540329039,1.16223600344e-05,4.938154885e-10,6.11753359081e-09,8.27111250601e-07,5.99633809273e-09,0.99883967638,6.62896582071e-09,1.08052256378e-11,1.19653031927e-09,1.26623817209e-07
15849,xhLqZi2CuK,Scratchy,7.69992,4.48754e-23,236.87324,649.7953,0.30274,975.1977,0.0,0.0,1129298438.86,H1:GDS-CALIB_STRAIN,1.00133323855e-08,1.65360219739e-07,2.9272376878e-07,2.55937511184e-08,3.31921455654e-06,5.48193987981e-08,3.88845649013e-08,4.20054084316e-06,2.36665273405e-05,0.000313392287353,0.000640905636828,1.06947757317e-08,1.39976620517e-07,3.66021595255e-07,3.18529700394e-08,0.998796582222,2.74840239456e-08,1.45457590417e-09,1.23907213379e-07,0.00021663957159
15852,QtJBe0xNV4,Scratchy,9.42127,5.42035e-23,236.87324,253.6414,0.21875,246.01505,0.0,0.0,1129309900.2,H1:GDS-CALIB_STRAIN,2.26330776343e-09,2.54173446592e-05,1.06009229057e-05,1.23855102174e-07,0.000630036054645,1.19807225474e-06,3.67844609173e-06,3.72197500838e-05,7.15073201718e-06,0.000451844302006,3.21558991345e-06,3.92708177088e-09,8.48878389803e-09,4.99402740388e-05,1.81369131269e-07,0.998759388924,3.12844292694e-08,4.50297743537e-10,3.8348235698e-09,1.99380920094e-05
15853,0CNOh0PQwP,Scratchy,11.47332,7.55555e-23,264.66324,257.72689,1.16016,380.53698,0.0,0.0,1130094131.03,H1:GDS-CALIB_STRAIN,3.48097861647e-09,2.78798239606e-07,1.37606207318e-06,9.7316586789e-08,0.000206592070754,1.41467253911e-07,2.60460780055e-07,7.70210363044e-07,3.55530119123e-06,0.00100859091617,9.23219943161e-07,7.43288230964e-09,1.15278737667e-08,2.44535640377e-05,3.8254942325e-08,0.998751223087,4.29827906601e-09,4.60923868517e-11,4.09980827953e-07,1.2459267964e-06
15854,HYlGG4cFHf,Scratchy,8.12528,5.00677e-23,266.8424,289.0169,0.10938,175.26405,0.0,0.0,1127750554.43,H1:GDS-CALIB_STRAIN,7.93614596262e-09,0.000204223659239,4.18663657911e-05,6.4189023874e-08,0.000593381235376,1.60950764894e-06,7.61029468777e-06,9.04917760636e-06,3.1769675843e-05,0.000188943216926,2.72736247098e-06,1.01288240018e-08,1.99520485467e-07,0.000169543753145,1.3265655241e-07,0.998724997044,3.48086253155e-08,1.24135160484e-10,2.21607194817e-08,2.38168649958e-05
15855,5SKYqpOxeW,Scratchy,8.32032,4.96291e-23,212.58041,218.66367,0.66016,176.05957,0.0,0.0,1129317444.49,H1:GDS-CALIB_STRAIN,4.28020119347e-11,1.34652775041e-10,1.21055769853e-08,7.82768871943e-09,1.04941079826e-07,3.67114405542e-09,1.3201058302e-10,2.7188276075e-09,6.41279100932e-08,0.00128071336076,5.1019901548e-07,2.90002050152e-11,2.92194357598e-09,6.49897273775e-08,1.83774218065e-10,0.998718500137,1.17491280593e-10,1.14791141002e-12,5.08956099488e-10,2.43317153092e-08
15857,uFIJT8lqzy,Scratchy,7.98531,4.93218e-23,212.58041,236.13672,0.12793,141.11348,0.0,0.0,1129060066.99,H1:GDS-CALIB_STRAIN,2.67713193836e-08,0.000167101126863,1.56132446136e-05,1.02652755629e-07,2.51100627793e-05,1.34682906605e-07,4.48616265203e-06,1.65525725606e-05,4.51283813163e-05,0.000191063460079,0.000350512593286,4.44309513625e-08,4.87584770781e-07,6.92414050718e-06,6.54125869914e-07,0.998712778091,1.6699843286e-07,7.06504437176e-08,2.27127586072e-07,0.000462812982732
